Date,Day,Cases
27-Aug-00,0,7
03-Sep-00,7,1
10-Sep-00,14,1
17-Sep-00,21,8
24-Sep-00,28,11
01-Oct-00,35,21
08-Oct-00,42,31
15-Oct-00,49,50
22-Oct-00,56,58
29-Oct-00,63,70
05-Nov-00,70,54
12-Nov-00,77,27
19-Nov-00,84,19
26-Nov-00,91,21
03-Dec-00,98,30
10-Dec-00,105,7
17-Dec-00,112,5
24-Dec-00,119,2
31-Dec-00,126,1
07-Jan-01,133,2
